PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title
1,0,3,0,0.8,1,0,0.0,2.0,0,3
2,1,1,1,0.4,1,0,0.6,0.8,1,0
3,1,3,1,0.8,0,0,0.0,2.0,0,0
4,1,1,1,0.6,1,0,0.6,0.8,0,0
5,0,3,0,0.6,0,0,0.0,2.0,0,3
6,0,3,0,0.6,0,0,0.0,2.0,2,3
7,0,1,0,0.4,0,0,0.6,1.6,0,3
8,0,3,0,1.0,3,1,0.3,2.0,0,2
9,1,3,1,0.6,0,2,0.0,2.0,0,0
10,1,2,1,1.0,1,0,0.6,1.8,1,0
11,1,3,1,1.0,1,1,0.0,2.4,0,0
12,1,1,1,0.4,0,0,0.3,0.8,0,0
13,0,3,0,0.8,0,0,0.0,2.0,0,3
14,0,3,0,0.4,1,5,0.6,2.0,0,3
15,0,3,1,1.0,0,0,0.0,2.0,0,0
16,1,2,1,0.4,0,0,0.0,1.8,0,0
17,0,3,0,1.0,4,1,0.3,2.0,2,2
18,1,2,0,0.6,0,0,0.0,1.8,0,3
19,0,3,1,0.6,1,0,0.3,2.0,0,0
20,1,3,1,0.6,0,0,0.0,2.0,1,0
21,0,2,0,0.6,0,0,0.3,1.8,0,3
22,1,2,0,0.6,0,0,0.0,1.2,0,3
23,1,3,1,1.0,0,0,0.0,2.0,2,0
24,1,1,0,0.6,0,0,0.6,0.0,0,3
25,0,3,1,1.0,3,1,0.3,2.0,0,0
26,1,3,1,0.4,1,5,0.6,2.0,0,0
27,0,3,0,0.6,0,0,0.0,2.0,1,3
28,0,1,0,0.8,3,2,1.0,0.8,0,3
29,1,3,1,0.6,0,0,0.0,2.0,2,0
30,0,3,0,0.6,0,0,0.0,2.0,0,3
31,0,1,0,0.4,0,0,0.3,0.8,1,3
32,1,1,1,0.6,1,0,1.0,0.4,1,0
33,1,3,1,0.6,0,0,0.0,2.0,2,0
34,0,2,0,0.2,0,0,0.0,1.8,0,3
35,0,1,0,0.6,1,0,0.6,0.8,1,3
36,0,1,0,0.4,1,0,0.6,0.8,0,3
37,1,3,0,0.6,0,0,0.0,2.0,1,3
38,0,3,0,0.8,0,0,0.0,2.0,0,3
39,0,3,1,0.8,2,0,0.3,2.0,0,0
40,1,3,1,1.0,1,0,0.0,2.0,1,0
41,0,3,1,0.4,1,0,0.0,2.0,0,0
